Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Personal Data;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Contract;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Inform Supervisory Authority;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Finance;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
General Risk Identification & Assessment;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
IT;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Pricing;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Stakeholder Assessment;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Risk Summary & Approval;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Model Risk;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Third-Party Data Processing;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
Communication to Customers;True;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
End User Computing;False;riskjourneytool change3708.xlsm;Beleggingsdiensten/Z_Other/2025-03-05 Support of W9forms by Investments for our USW Process;2025-04-08 12:25:14
