Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Personal Data;False;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Contract;True;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Inform Supervisory Authority;False;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Finance;False;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
General Risk Identification & Assessment;True;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
IT;False;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Pricing;False;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Stakeholder Assessment;True;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Risk Summary & Approval;True;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Model Risk;False;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Third-Party Data Processing;False;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
Communication to Customers;True;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
End User Computing;False;riskjourneytool change3466 version 21-02-2025.xlsm;Branding/Other/2024-12-06 Agreement Main Sponsorship Stichting Het Rijkmuseum;2025-04-07 22:01:59
