ID;Start Date;End Date;Process Category;Tribe;Status;Type;Duration;Folder;End Year
1006;2022-09-14;2024-11-15;Other change (non-PAP);Tribe Payments;5. Journey On hold;Change;793;Payments Acquiring/Accepteren betaalpas (cards acquiring)/2022-09-14 SoftPOS for DBNL;2024.0
1008;2022-09-15;2024-07-11;Communication;Tribe Digital & Customer Interactions;5. Journey finished;Change;665;Digital Sales/Consumer Loans/2022-09-15 Care je lening staat klaar (verbouwen);2024.0
1024;2022-09-21;2024-11-21;Risk assessment (non-PAP);Tribe Payments;5. Journey Cancelled;Change;792;Credit Cards/Creditcard/2022-09-21 Compensation Variable interest Revolving Credit Cards;2024.0
1030;2022-09-22;;Risk assessment (non-PAP);Tribe Daily Banking & Digital First;2. Intake filled-in;Change;(blank);Z_Other/Tribe Daily Banking & Digital First/2022-09-22 MT14 (Minors Turning 14);
1037;2022-09-23;2024-10-30;Significant change financial product/-service/channel (PAP);Consumer Lending & Insurance;5. Journey finished;Change;768;Doorlopend Krediet/Studentenkrediet/2022-09-23 Simplify Loans products (Cancel Student Loan);2024.0
1050;2022-09-29;2024-04-08;Significant change financial product/-service/channel (PAP);Tribe Payments;5. Journey finished;Change;557;Payments_Giraal betvk/iDEAL 2.0/2022-09-29 iDEAL 2.0 Release 3 Acquiring;2024.0
1060;2022-09-30;2024-03-28;Other change (non-PAP);Tribe Investments;5. Journey finished;Change;545;Beleggingsrekeningen/Vermogensbeheer/2022-09-30 Aanpassing revisie beleid en online revisie flow Vermogensbeheer;2024.0
1068;2022-10-04;2024-02-07;Other change (non-PAP);Tribe Payments;5. Journey finished;Change;491;Payments Cards Issuing/Betaalpas zakelijk (cards issuing)/2022-10-04 Soft block business (AppMINGZ);2024.0
1070;2022-10-05;2024-01-03;Communication;Private Banking & Wealth Mgt (Advice);5. Journey finished;Change;455;Private Banking _ Wealth/Campagnes/2022-10-05 Award campaign ING Private Banking 2022;2024.0
1091;2022-10-10;;Risk assessment (non-PAP);People Services;1. Journey started;Change;(blank);HR Processes & Systems/Communication/2022-10-10 Financial Wellbeing;
1100;2022-10-11;2025-04-15;Risk assessment (non-PAP);Consumer Lending & Insurance;5. Journey finished;Change;917;Persoonlijke Lening/Persoonlijke Lening/2022-10-11 Transactional scorecard NL for internal ING customers  EPIC0081965;2025.0
1101;2022-10-11;2024-03-13;Significant change financial product/-service/channel (PAP);Tribe Business Lending;5. Journey Cancelled;Change;519;Lenen zakelijk/Z_Other/2022-10-11 HRCK Legacy deviation from solution in MIA ISSUE10057771;2024.0
1102;2022-10-12;;Other change (non-PAP);Tribe Digital & Customer Interactions;5. Journey finished;Change;(blank);Digital Sales/Payments and Cards/2022-10-12 CC optimalisaties always on think passive;
1104;2022-10-12;;Other change (non-PAP);Tribe Investments;1. Journey started;Change;(blank);Beleggingsrekeningen/Eenvoudig Beleggen/2022-10-12 EPIC0084476  Easy Invest  NL  Improve onboarding  Business accounts;
1117;2022-10-18;2024-10-31;Communication;Tribe Digital & Customer Interactions;5. Journey finished;Change;744;Digital Sales/Z_Other/2024 -10-28 Linkbuilding;2024.0
1119;2022-10-18;;Termination of financial product/-service/channel (PAP);Tribe Daily Banking & Digital First;1. Journey started;Change;(blank);Sparen/Groei Rekening/2022-10-18 Uitfaseren MonoSpaarproducten in Profile;
1121;2022-10-19;;Risk assessment (non-PAP);Tribe Document & Content Services;3. Intake challenged;Change;(blank);Document & Content Services/Process change/2022-10-19 Implementation of Role Based Communication;
1126;2022-10-20;2024-11-25;New financial product/-service/channel (PAP);Consumer Lending & Insurance;5. Journey Cancelled;Change;767;Persoonlijke Lening/Persoonlijke Lening/2022-10-20 Newtobank lending;2024.0
1143;2022-10-26;;Communication;Tribe Digital & Customer Interactions;5. Journey finished;Change;(blank);;
1172;2022-11-08;2025-04-10;Significant change financial product/-service/channel (PAP);Consumer Lending & Insurance;5. Journey Cancelled;Change;884;Persoonlijke Lening/Persoonlijke Lening/2022-11-08 Redesign second applicant flow (consent for Installment loan);2025.0
1190;2022-11-16;;Significant change financial product/-service/channel (PAP);Consumer Lending & Insurance;5. Journey Cancelled;Change;(blank);Persoonlijke Lening/Persoonlijke Lening/2022-11-16 Implementation of Sepa Direct Debit for loans;
1191;2022-11-16;;Other change (non-PAP);Tribe Payments;5. Journey Cancelled;Change;(blank);Cash/Emergency Cash/2022-11-16 Emergency Cash Buitenland;
1211;2022-11-22;2024-04-11;Communication;Tribe Investments;5. Journey finished;Change;506;Beleggingsrekeningen/Beleggen App/2022-11-22 Small CX improvements in the Mobile Investments App;2024.0
1216;2022-11-23;2024-04-03;Other change (non-PAP);Tribe Payments;5. Journey finished;Change;497;Payments_Giraal betvk/Betaalverzoek/2022-11-23 TC update BB  for PR Zakelijk;2024.0
