File;ORM_check;ORM_invited_or_challange;IRM_check;IRM_invited_or_challange;Folder;ID;Start Date;End Date;Process Category;Tribe;Type
;;;;;Digital Sales/Consumer Loans/2022-09-15 Care je lening staat klaar (verbouwen);1008;2022-09-15 00:00:00;2024-07-11 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Doorlopend Krediet/Studentenkrediet/2022-09-23 Simplify Loans products (Cancel Student Loan);1037;2022-09-23 00:00:00;2024-10-30 00:00:00;Significant change financial product/-service/channel (PAP);Consumer Lending & Insurance;Change
;;;;;Payments_Giraal betvk/iDEAL 2.0/2022-09-29 iDEAL 2.0 Release 3 Acquiring;1050;2022-09-29 00:00:00;2024-04-08 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Payments;Change
;;;;;Beleggingsrekeningen/Vermogensbeheer/2022-09-30 Aanpassing revisie beleid en online revisie flow Vermogensbeheer;1060;2022-09-30 00:00:00;2024-03-28 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Payments Cards Issuing/Betaalpas zakelijk (cards issuing)/2022-10-04 Soft block business (AppMINGZ);1068;2022-10-04 00:00:00;2024-02-07 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Private Banking _ Wealth/Campagnes/2022-10-05 Award campaign ING Private Banking 2022;1070;2022-10-05 00:00:00;2024-01-03 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2022-10-11 Transactional scorecard NL for internal ING customers  EPIC0081965;1100;2022-10-11 00:00:00;2025-04-15 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Digital Sales/Z_Other/2024 -10-28 Linkbuilding;1117;2022-10-18 00:00:00;2024-10-31 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Beleggingsrekeningen/Beleggen App/2022-11-22 Small CX improvements in the Mobile Investments App;1211;2022-11-22 00:00:00;2024-04-11 00:00:00;Communication;Tribe Investments;Change
;;;;;Payments_Giraal betvk/Betaalverzoek/2022-11-23 TC update BB  for PR Zakelijk;1216;2022-11-23 00:00:00;2024-04-03 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Current accounts/Kinderrekening/2022-11-24 Zakgeldpropositie pilot;1219;2022-11-24 00:00:00;2024-10-01 00:00:00;Other change (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Hypotheken/Z_Other/2022-11-28 ToolingPEGASMVINGHuizen;1225;2022-11-28 00:00:00;2024-01-22 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Hypotheken/Z_Other/2022-11-28 Communication regarding solving Data Quality issues;1227;2022-11-28 00:00:00;2024-02-28 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Beleggingsrekeningen/Vermogensbeheer/2022-12-06 Change box 3 taxes article;1254;2022-12-06 00:00:00;2024-03-28 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Business Banking Services and Products/Digitale handtekening/2022-12-21 Digital signature Business Banking DBNL;1294;2022-12-21 00:00:00;2024-08-13 00:00:00;New financial product/-service/channel (PAP);Business Banking Sales;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2023-01-11 Easy Invest  NL  Improve onboarding conversion during 2023  Front End;1351;2023-01-11 00:00:00;2024-09-06 00:00:00;Communication;Tribe Investments;Change
;;;;;Credit Cards/Creditcard/2023-01-12 Decom Polymer EPIC010278;1358;2023-01-12 00:00:00;2024-02-27 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;ORM 2 LOD Processes & Systems/Other/2023-01-13 Handover maintenance SPIDER Tooling to ING HUB Sourcing Manila;1361;2023-01-13 00:00:00;2024-09-13 00:00:00;Risk assessment (non-PAP);Tribe NFR;Change
;;;;;Digital Sales/Insurance/2023-01-16 Direct flow link;1364;2023-01-16 00:00:00;2024-07-09 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Digital Touchpoints/2023-01-31 First party customer identifiers collection via Adobe Experience suite;1426;2023-01-31 00:00:00;2024-07-09 00:00:00;Other change (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Z_Other/Tribe Digital & Customer Interactions/2023-01-31 Decomm Mobile Legacy backend;1430;2023-01-31 00:00:00;2024-07-09 00:00:00;Other change (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2023-02-03 Distributor Due Dilligence Tooling;1436;2023-02-03 00:00:00;2024-04-12 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Z_Other/Consumer Lending & Insurance/2023-02-03 GrossNet tool;1437;2023-02-03 00:00:00;2024-02-20 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Payments_Giraal betvk/Z_Other/2023-02-06 EPIC0095528 LABC Corebank;1440;2023-02-06 00:00:00;2024-03-12 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Payments Cards Issuing/Betaalpas particulier (cards issuing)/2023-02-08 Shift debit card processes from Branch to CSNL;1446;2023-02-08 00:00:00;2024-02-26 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Customer IT Systems & Processes/Process change/2023-02-09 InApp conversations;1451;2023-02-09 00:00:00;2024-10-07 00:00:00;Risk assessment (non-PAP);Tribe Assisted Channels;Change
;;;;;Customer Data/Process change/2023-02-13 Refinement Parental Power process;1455;2023-02-13 00:00:00;2024-05-02 00:00:00;Risk assessment (non-PAP);Tribe Digital Business Banking;Change
;;;;;Payments_Giraal betvk/SEPA CT (MING en app, enkel_mv en ink)/2023-02-13 Redesign of Move Money;1456;2023-02-13 00:00:00;2024-04-03 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Payments Mobile Payments/Mobiel Betalen/2023-08-07 Go live wearables Garmin;1465;2023-08-07 00:00:00;2024-04-08 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Payments Acquiring/New product/2023-02-15 Ecom Business Banking;1466;2023-02-15 00:00:00;2024-03-12 00:00:00;New financial product/-service/channel (PAP);Tribe Payments;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2021-11-03 Instant lendingOckto EPIC0081949/9. UWV data business rules/Change after go-live;1470;2023-02-16 00:00:00;2025-04-16 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2023-02-16 Reson to sell Easy Invest NL;1471;2023-02-16 00:00:00;2024-04-11 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Payments Mobile Payments/Mobiel Betalen/2023-02-16 VTS implementation;1474;2023-02-16 00:00:00;2024-03-12 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Digital Sales/Current accounts/2023-02-17 Recognize parents  test 5;1477;2023-02-17 00:00:00;2024-07-16 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Payments Cards Issuing/Betaalpas particulier (cards issuing)/2023-02-17 BR removal of the Ringfencing Marking;1478;2023-02-17 00:00:00;2024-03-05 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Customer Intelligence/Datamart/2023-03-07 DMCAN migration Exadata;1508;2023-03-07 00:00:00;2024-10-22 00:00:00;Risk assessment (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2023-03-16 Mobile Onboarding  Legal Representative;1533;2023-03-16 00:00:00;2024-04-26 00:00:00;Risk assessment (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;KYC/Process change/2023-03-22 Record Retention PEGA KYC SoR;1547;2023-03-22 00:00:00;2024-10-29 00:00:00;Risk assessment (non-PAP);Tribe KYC Services;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-03-24 Sourcing CL L2C processing applications;1553;2023-03-24 00:00:00;2025-04-05 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Customer Data/Process change/2023-03-28 Duurzaamheidsscan MingZ;1566;2023-03-28 00:00:00;2025-02-14 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Lenen zakelijk/Z_Other/2023-03-31 Instant Lending;1580;2023-03-31 00:00:00;2024-02-27 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Business Lending;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-03-31 Removal death waiver;1582;2023-03-31 00:00:00;2024-10-31 00:00:00;Significant change financial product/-service/channel (PAP);Consumer Lending & Insurance;Change
;;;;;KYC/Policy change/2023-03-31 Use of IVR registrations for coffeeshops  for Increased UHRCcompliance risks customers;1584;2023-03-31 00:00:00;2024-11-01 00:00:00;Other change (non-PAP);Tribe KYC Services;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2023-04-03 Exante kostentransparantie d.m.v. Maatmensen;1587;2023-04-03 00:00:00;2024-04-11 00:00:00;Communication;Tribe Investments;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2023-04-05 Overview of art.9 funds in MIA;1594;2023-04-05 00:00:00;2024-04-11 00:00:00;Communication;Tribe Investments;Change
;;;;;Private Banking _ Wealth/Internetpagina/2023-04-06 Rebuild PriBa website;1599;2023-04-06 00:00:00;2025-01-22 00:00:00;Risk assessment (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Commercial Finance/Other/2023-04-13 Docbox  pilot for Blend;1611;2023-04-13 00:00:00;2024-09-17 00:00:00;Other change (non-PAP);Commercial Finance;Change
;;;;;Private Banking _ Wealth/Campagnes/2023-04-13 Swingnature;1613;2023-04-13 00:00:00;2024-03-28 00:00:00;Risk assessment (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Payments Mobile Payments/Mobiel Betalen/2023-04-17 Google Pay;1621;2023-04-17 00:00:00;2024-03-12 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Payments;Change
;;;;;Lenen zakelijk/Z_Other/2023-04-18 Climate Risk Assessment;1627;2023-04-18 00:00:00;2024-02-28 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2023-04-19 Check je zorgtoeslag;1632;2023-04-19 00:00:00;2024-10-02 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-04-21 Implementing consolidation flow;1644;2023-04-21 00:00:00;2024-11-19 00:00:00;New financial product/-service/channel (PAP);Consumer Lending & Insurance;Change
;;;;;Z_Other/Consumer Lending & Insurance/2023-04-21 Extending Smart Calculator with MLA calculation;1645;2023-04-21 00:00:00;2024-11-19 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-05-03 2nd contr holder CLT warning for Restr Loan  Fin Fit Loan;1671;2023-05-03 00:00:00;2024-10-30 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-05-04 PSD2 Apply Flow Consumer Loans;1674;2023-05-04 00:00:00;2024-10-31 00:00:00;Significant change financial product/-service/channel (PAP);Consumer Lending & Insurance;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2023-05-04 Eenvoudig Beleggen engagement optimalisatie;1676;2023-05-04 00:00:00;2024-05-23 00:00:00;Communication;Tribe Investments;Change
;;;;;Fraud/Process change/2023-05-15 Interactive Notifications;1706;2023-05-15 00:00:00;2024-04-18 00:00:00;Risk assessment (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Digital Sales/Investments - Verdi/2023-05-15 Link to SU on additional investment pages;1708;2023-05-15 00:00:00;2024-07-09 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Cash/Z_Other/2023-05-16 Decomission assisted cash services;1713;2023-05-16 00:00:00;2024-01-11 00:00:00;Termination of financial product/-service/channel (PAP);Tribe Payments;Change
;;;;;Digital Sales/Digital Touchpoints/2023-05-22 RTCDP matching variable phone number;1725;2023-05-22 00:00:00;2024-07-09 00:00:00;Other change (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Payments Reporting/Afschriften (papier)/2023-05-25 Stop daily and weekly paper statements for private individuals;1734;2023-05-25 00:00:00;2024-03-13 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2023-05-25 Awareness and consideration campaign;1737;2023-05-25 00:00:00;2024-04-11 00:00:00;Communication;Tribe Investments;Change
;;;;;Z_Other/Tribe Digital & Customer Interactions/2023-05-30 SAE Update;1744;2023-05-30 00:00:00;2024-07-11 00:00:00;Risk assessment (non-PAP);Tribe Digital & Customer Interactions;Change
